Indexing CT events from block 44020001 to 85042596 (41022595 blocks)
  Error at blocks 44020001-44030000: insert or update on table "resolutions" violates foreign key constraint "resolutions_condition_id_fkey"
DETAIL:  Key (condition_id)=(0xed65addb5390c14b75158647f6b6dace012ef44b6a93ca936704545536dffa36) is not present in table "markets".

  Error at blocks 44030001-44040000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44040001-44050000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44050001-44060000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44060001-44070000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44070001-44080000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44080001-44090000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44090001-44100000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44100001-44110000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44110001-44120000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44120001-44130000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44130001-44140000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44140001-44150000: current transaction is aborted, commands ignored until end of transaction block

  Error at blocks 44150001-44160000: current transaction is aborted, commands ignored until end of transaction block

Indexing CT events from block 44020001 to 85042627 (41022626 blocks)
  [CT] Block 44030000/85042627 (0.0%) | resolutions=9 redemptions=8
  [CT] Block 44040000/85042627 (0.0%) | resolutions=9 redemptions=20
  [CT] Block 44050000/85042627 (0.1%) | resolutions=11 redemptions=23
  [CT] Block 44060000/85042627 (0.1%) | resolutions=11 redemptions=31
  [CT] Block 44300000/85042627 (0.7%) | resolutions=87 redemptions=510
  [CT] Block 44310000/85042627 (0.7%) | resolutions=87 redemptions=530
  [CT] Block 44320000/85042627 (0.7%) | resolutions=87 redemptions=544
  [CT] Block 44330000/85042627 (0.8%) | resolutions=87 redemptions=549
  [CT] Block 44380000/85042627 (0.9%) | resolutions=105 redemptions=830
  [CT] Block 44390000/85042627 (0.9%) | resolutions=107 redemptions=862
  [CT] Block 44400000/85042627 (0.9%) | resolutions=107 redemptions=908
  [CT] Block 44410000/85042627 (1.0%) | resolutions=108 redemptions=953
  [CT] Block 44440000/85042627 (1.0%) | resolutions=118 redemptions=1002
  [CT] Block 44450000/85042627 (1.0%) | resolutions=118 redemptions=1012
  [CT] Block 44460000/85042627 (1.1%) | resolutions=127 redemptions=1025
  [CT] Block 44470000/85042627 (1.1%) | resolutions=127 redemptions=1034
  [CT] Block 44480000/85042627 (1.1%) | resolutions=127 redemptions=1045
  [CT] Block 44580000/85042627 (1.4%) | resolutions=178 redemptions=1516
  [CT] Block 44590000/85042627 (1.4%) | resolutions=182 redemptions=1546
  [CT] Block 44650000/85042627 (1.5%) | resolutions=201 redemptions=1915
  [CT] Block 44660000/85042627 (1.6%) | resolutions=201 redemptions=1944
  [CT] Block 44670000/85042627 (1.6%) | resolutions=201 redemptions=1961
  [CT] Block 44680000/85042627 (1.6%) | resolutions=204 redemptions=1990
  [CT] Block 44690000/85042627 (1.6%) | resolutions=204 redemptions=2008
  [CT] Block 44700000/85042627 (1.7%) | resolutions=204 redemptions=2033
  [CT] Block 44710000/85042627 (1.7%) | resolutions=204 redemptions=2042
  [CT] Block 44720000/85042627 (1.7%) | resolutions=204 redemptions=2057
  [CT] Block 44730000/85042627 (1.7%) | resolutions=204 redemptions=2098
  [CT] Block 44740000/85042627 (1.8%) | resolutions=204 redemptions=2119
  [CT] Block 44750000/85042627 (1.8%) | resolutions=205 redemptions=2133
  [CT] Block 44760000/85042627 (1.8%) | resolutions=205 redemptions=2152
  [CT] Block 44770000/85042627 (1.8%) | resolutions=205 redemptions=2176
  [CT] Block 44780000/85042627 (1.9%) | resolutions=205 redemptions=2198
  [CT] Block 44790000/85042627 (1.9%) | resolutions=205 redemptions=2219
  [CT] Block 44800000/85042627 (1.9%) | resolutions=205 redemptions=2229
  [CT] Block 44810000/85042627 (1.9%) | resolutions=205 redemptions=2240
  [CT] Block 44820000/85042627 (2.0%) | resolutions=206 redemptions=2253
  [CT] Block 44830000/85042627 (2.0%) | resolutions=207 redemptions=2275
  [CT] Block 44950000/85042627 (2.3%) | resolutions=220 redemptions=2538
  [CT] Block 45100000/85042627 (2.6%) | resolutions=234 redemptions=3015
  [CT] Block 45110000/85042627 (2.7%) | resolutions=234 redemptions=3034
  [CT] Block 45210000/85042627 (2.9%) | resolutions=244 redemptions=3505
  [CT] Block 45220000/85042627 (2.9%) | resolutions=246 redemptions=3536
  [CT] Block 45660000/85042627 (4.0%) | resolutions=270 redemptions=5006
  [CT] Block 45670000/85042627 (4.0%) | resolutions=271 redemptions=5021
  [CT] Block 45680000/85042627 (4.0%) | resolutions=271 redemptions=5028
  [CT] Block 45690000/85042627 (4.1%) | resolutions=272 redemptions=5044
  [CT] Block 45790000/85042627 (4.3%) | resolutions=296 redemptions=5504
  [CT] Block 45920000/85042627 (4.6%) | resolutions=304 redemptions=5912
  [CT] Block 45930000/85042627 (4.7%) | resolutions=304 redemptions=5969
  [CT] Block 45940000/85042627 (4.7%) | resolutions=305 redemptions=6001
  [CT] Block 45950000/85042627 (4.7%) | resolutions=305 redemptions=6059
  [CT] Block 45960000/85042627 (4.7%) | resolutions=305 redemptions=6072
  [CT] Block 45970000/85042627 (4.8%) | resolutions=306 redemptions=6094
