============================================================
Phase 1: CTF Exchange (standard markets)
============================================================
Indexing ctf events from block 50672000 to 85042596 (34370596 blocks)
  [ctf] Block 50681999/85042596 (0.0%) | fills=327 matches=124
  [ctf] Block 50691999/85042596 (0.1%) | fills=418 matches=166
  [ctf] Block 50701999/85042596 (0.1%) | fills=681 matches=276
  [ctf] Block 50711999/85042596 (0.1%) | fills=1043 matches=428
  [ctf] Block 50721999/85042596 (0.1%) | fills=1250 matches=508
  [ctf] Block 50731999/85042596 (0.2%) | fills=1465 matches=593
  [ctf] Block 50741999/85042596 (0.2%) | fills=1919 matches=786
  [ctf] Block 50751999/85042596 (0.2%) | fills=2532 matches=1021
  [ctf] Block 50761999/85042596 (0.3%) | fills=2838 matches=1136
  [ctf] Block 50771999/85042596 (0.3%) | fills=3029 matches=1212
  [ctf] Block 50781999/85042596 (0.3%) | fills=3336 matches=1336
  [ctf] Block 50791999/85042596 (0.3%) | fills=3770 matches=1511
  [ctf] Block 50801999/85042596 (0.4%) | fills=4172 matches=1669
  [ctf] Block 50811999/85042596 (0.4%) | fills=4432 matches=1775
  [ctf] Block 50821999/85042596 (0.4%) | fills=4880 matches=1958
  [ctf] Block 50831999/85042596 (0.5%) | fills=5446 matches=2195
  [ctf] Block 50841999/85042596 (0.5%) | fills=6041 matches=2442
  [ctf] Block 50851999/85042596 (0.5%) | fills=6277 matches=2545
  [ctf] Block 50861999/85042596 (0.6%) | fills=6551 matches=2647
  [ctf] Block 50871999/85042596 (0.6%) | fills=7006 matches=2838
  [ctf] Block 50881999/85042596 (0.6%) | fills=7314 matches=2967
  [ctf] Block 50891999/85042596 (0.6%) | fills=7568 matches=3081
  [ctf] Block 50901999/85042596 (0.7%) | fills=7971 matches=3246
  [ctf] Block 50911999/85042596 (0.7%) | fills=8328 matches=3397
  [ctf] Block 50921999/85042596 (0.7%) | fills=8586 matches=3501
  [ctf] Block 50931999/85042596 (0.8%) | fills=8868 matches=3617
  [ctf] Block 50941999/85042596 (0.8%) | fills=9129 matches=3730
  [ctf] Block 50951999/85042596 (0.8%) | fills=9625 matches=3930
  [ctf] Block 50961999/85042596 (0.8%) | fills=9850 matches=4022
  [ctf] Block 50971999/85042596 (0.9%) | fills=10025 matches=4097
  [ctf] Block 50981999/85042596 (0.9%) | fills=10242 matches=4188
  [ctf] Block 50991999/85042596 (0.9%) | fills=10467 matches=4281
  [ctf] Block 51001999/85042596 (1.0%) | fills=10666 matches=4361
  [ctf] Block 51011999/85042596 (1.0%) | fills=10911 matches=4466
  [ctf] Block 51021999/85042596 (1.0%) | fills=11337 matches=4645
  [ctf] Block 51031999/85042596 (1.0%) | fills=11700 matches=4777
  [ctf] Block 51041999/85042596 (1.1%) | fills=12069 matches=4924
  [ctf] Block 51051999/85042596 (1.1%) | fills=12334 matches=5037
  [ctf] Block 51061999/85042596 (1.1%) | fills=12976 matches=5321
  [ctf] Block 51071999/85042596 (1.2%) | fills=13286 matches=5459
  [ctf] Block 51081999/85042596 (1.2%) | fills=13701 matches=5621
  [ctf] Block 51091999/85042596 (1.2%) | fills=14019 matches=5757
  [ctf] Block 51101999/85042596 (1.3%) | fills=14562 matches=5998
  [ctf] Block 51111999/85042596 (1.3%) | fills=14907 matches=6146
  [ctf] Block 51121999/85042596 (1.3%) | fills=15139 matches=6251
  [ctf] Block 51131999/85042596 (1.3%) | fills=15551 matches=6425
  [ctf] Block 51141999/85042596 (1.4%) | fills=15953 matches=6593
  [ctf] Block 51151999/85042596 (1.4%) | fills=16342 matches=6757
  [ctf] Block 51161999/85042596 (1.4%) | fills=16603 matches=6865
  [ctf] Block 51171999/85042596 (1.5%) | fills=16946 matches=7010
  [ctf] Block 51181999/85042596 (1.5%) | fills=17267 matches=7141
  [ctf] Block 51191999/85042596 (1.5%) | fills=17782 matches=7367
